group,true_label,PMD:Background,PMD:Objective,PMD:Methods,PMD:Results,PMD:Conclusions,NIC:Background,NIC:Intervention,NIC:Study Design,NIC:Population,NIC:Outcome,NIC:Other,DRI:Background,DRI:Challenge,DRI:Approach,DRI:Outcome,DRI:Futurework,ART:Background,ART:Motivation,ART:Hypothesis,ART:Goal,ART:Object,ART:Experiment,ART:Model,ART:Method,ART:Observation,ART:Result,ART:Conclusion
Background,PMD:Background,0.76,0.21,0.02,0,0,0.9,0,0,0.02,0,0.07,0.38,0.49,0.04,0.01,0.09,0.16,0.22,0.08,0.02,0.14,0.03,0.02,0.04,0.03,0.26,0.01
Problem,PMD:Objective,0.26,0.72,0.02,0,0,0.81,0,0.01,0.02,0,0.15,0.2,0.56,0.07,0.01,0.16,0.16,0.21,0.05,0.02,0.18,0.04,0.01,0.05,0.02,0.26,0
Methods,PMD:Methods,0,0,0.98,0.01,0,0.01,0.18,0.05,0.21,0.01,0.55,0.47,0.12,0.11,0.03,0.27,0.03,0.07,0.08,0.01,0.14,0.25,0.05,0.05,0.26,0.02,0.02
Results,PMD:Results,0,0,0.04,0.95,0.01,0,0,0,0.01,0.93,0.06,0.51,0.26,0.11,0.02,0.1,0.05,0.02,0,0,0.05,0.48,0.13,0.02,0.23,0.02,0.01
Conclusions,PMD:Conclusions,0,0,0,0.03,0.97,0,0,0,0,1,0,0.69,0.04,0.24,0.01,0.02,0.04,0,0,0,0.45,0.11,0.13,0.01,0.23,0.03,0
Background,NIC:Background,0.7,0.2,0.03,0.02,0.05,0.9,0,0,0.02,0.04,0.03,0.27,0.41,0.13,0.01,0.19,0.27,0.1,0.06,0.01,0.21,0.05,0.01,0.02,0.09,0.19,0.01
Methods,NIC:Intervention,0.08,0.05,0.78,0.1,0,0.13,0.46,0,0.1,0.03,0.29,0.51,0.1,0.18,0.02,0.2,0.14,0.2,0.1,0,0.1,0.22,0.04,0,0.14,0,0.04
Methods,NIC:Study Design,0.1,0.14,0.76,0,0,0.1,0,0.86,0,0,0.05,0.25,0.5,0,0,0.25,0.06,0.06,0.06,0,0.19,0.19,0,0.06,0.06,0.31,0
Methods,NIC:Population,0.02,0.12,0.81,0.05,0,0.06,0.01,0.01,0.78,0.02,0.12,0.32,0.25,0.12,0.06,0.25,0.07,0.12,0.12,0,0.15,0.1,0.06,0.06,0.14,0.15,0.02
Results,NIC:Outcome,0.04,0,0.04,0.59,0.33,0.05,0,0,0.01,0.91,0.03,0.55,0.19,0.14,0.02,0.1,0.13,0.01,0,0,0.21,0.21,0.14,0.02,0.25,0.02,0.01
Methods,NIC:Other,0.07,0.08,0.71,0.13,0.01,0.1,0.02,0,0.05,0.09,0.73,0.36,0.19,0.2,0.03,0.22,0.07,0.15,0.11,0,0.1,0.21,0.07,0.03,0.21,0.03,0.01
Background,DRI:Background,0.15,0.04,0.09,0.69,0.04,0.07,0.18,0.05,0.21,0.44,0.05,0.8,0.11,0.09,0,0,0.82,0.01,0,0,0,0,0.08,0.09,0,0,0.01
Problem,DRI:Challenge,0.28,0.2,0.16,0.28,0.08,0,0.15,0.08,0.38,0.31,0.08,0.4,0.53,0.07,0,0,0.7,0.07,0,0.07,0.03,0,0,0.1,0,0,0.03
Methods,DRI:Approach,0.11,0.23,0.14,0.46,0.06,0.16,0.19,0.09,0.33,0.13,0.11,0.07,0.03,0.87,0.03,0,0.07,0,0,0.01,0.01,0.01,0.46,0.41,0,0.01,0.01
Results,DRI:Outcome,0.12,0.27,0.34,0.22,0.05,0.07,0.18,0.05,0.53,0.1,0.07,0.07,0.05,0.28,0.6,0,0.09,0,0.02,0.03,0.05,0,0.06,0.21,0.03,0.13,0.39
Future Work,DRI:Futurework,0,0,0.5,0,0.5,0,0.25,0.25,0.25,0.25,0,0.25,0,0.38,0.25,0.12,0.38,0,0,0.12,0,0,0,0.12,0,0,0.38
Background,ART:Background,0.17,0.04,0.07,0.61,0.11,0.04,0.23,0.02,0.16,0.49,0.07,0.72,0.06,0.1,0.09,0.03,0.75,0.01,0.01,0,0.01,0,0.03,0.09,0.01,0.05,0.02
Background,ART:Motivation,0.26,0.03,0.06,0.66,0,0.06,0.18,0.06,0.24,0.45,0,0.67,0.26,0.05,0,0.03,0.72,0.18,0,0,0,0,0,0.08,0,0,0.03
Problem,ART:Hypothesis,0.25,0,0.25,0.5,0,0.11,0.26,0.16,0.37,0.11,0,0.09,0.19,0.16,0.25,0.31,0.19,0,0.25,0,0,0,0.03,0.16,0,0.16,0.22
Problem,ART:Goal,0.12,0.21,0.08,0.5,0.08,0,0.2,0.2,0.31,0.26,0.03,0.07,0.31,0.51,0.04,0.06,0.13,0,0,0.4,0.21,0.03,0.01,0.19,0,0.01,0
Problem,ART:Object,0.12,0.26,0.07,0.5,0.04,0.05,0.18,0.24,0.34,0.13,0.06,0.09,0.19,0.45,0.22,0.05,0.15,0,0,0.11,0.45,0.02,0.04,0.11,0.03,0.03,0.06
Methods,ART:Experiment,0.05,0.22,0.1,0.5,0.14,0.21,0.29,0.01,0.07,0.26,0.16,0.05,0,0.94,0,0,0.02,0,0,0,0.01,0.79,0.01,0.16,0.01,0,0
Methods,ART:Model,0.05,0.02,0.08,0.83,0.02,0.1,0.28,0.03,0.18,0.3,0.11,0.22,0.01,0.68,0.08,0,0.17,0,0,0,0,0.02,0.48,0.15,0.07,0.1,0.01
Methods,ART:Method,0.12,0.06,0.16,0.57,0.08,0.07,0.25,0.02,0.25,0.32,0.1,0.47,0.03,0.44,0.05,0.01,0.28,0,0,0.01,0.02,0.1,0.1,0.43,0.02,0.04,0.01
Results,ART:Observation,0.08,0.07,0.12,0.61,0.11,0.09,0.2,0.01,0.37,0.27,0.06,0.08,0,0.21,0.7,0,0.05,0,0,0,0,0.02,0.03,0.04,0.62,0.22,0.02
Results,ART:Result,0.15,0.08,0.13,0.52,0.12,0.06,0.28,0.02,0.33,0.24,0.07,0.09,0.01,0.16,0.71,0.03,0.1,0,0.01,0,0.01,0,0.04,0.03,0.14,0.56,0.09
Conclusions,ART:Conclusion,0.18,0.07,0.16,0.44,0.14,0.08,0.24,0.04,0.44,0.16,0.05,0.07,0.03,0.07,0.68,0.14,0.12,0,0.03,0,0.01,0,0.01,0.01,0,0.31,0.5